2019-05-17 09:09:02 | DEBUG | 1014 | 5cde09ac8ab68 | 1558055342.15 | Uri:[/get_reception_num] | Refer:[] | File:[Api.php] | Line:[56] | Response:[{"code":200,"msg":"","data":{"reception_num":[{"scenic_spot_id":1,"num":9408},{"scenic_spot_id":2,"num":1797},{"scenic_spot_id":3,"num":4545}],"ticket_type":{"hhl":{"1":{"student":78,"man":69,"free":10,"student_rate":0.497,"man_rate":0.439,"free_rate":0.064},"2":{"student":10,"man":11,"free":20,"student_rate":0.244,"man_rate":0.268,"free_rate":0.488}},"dxg":{"door":{"1":{"student":25,"man":0,"free":0,"student_rate":1,"man_rate":0,"free_rate":0}},"boat":{"1":{"student":0,"man":52,"free":0,"student_rate":0,"man_rate":1,"free_rate":0},"2":{"student":0,"man":55,"free":0,"student_rate":0,"man_rate":1,"free_rate":0}}},"hht":{"door":{"1":{"student":25,"man":0,"free":0,"student_rate":1,"man_rate":0,"free_rate":0},"2":{"student":250,"man":193,"free":25,"student_rate":0.534,"man_rate":0.412,"free_rate":0.053}},"boat":{"1":{"student":0,"man":636,"free":0,"student_rate":0,"man_rate":1,"free_rate":0},"2":{"student":62,"man":100,"free":0,"student_rate":0.383,"man_rate":0.617,"free_rate":0}}},"sty":{"special":45,"rate":1}}}}]
2019-05-17 09:25:31 | DEBUG | 1013 | 5cde0d8b13acc | 1558056331.87 | Uri:[/get_reception_num] | Refer:[] | File:[Api.php] | Line:[56] | Response:[{"code":200,"msg":"","data":{"reception_num":[{"scenic_spot_id":1,"num":1577},{"scenic_spot_id":2,"num":304},{"scenic_spot_id":3,"num":762}],"ticket_type":{"hhl":{"student":0,"man":0,"free":0,"student_rate":0,"man_rate":0,"free_rate":0},"dxg":{"door":{"student":0,"man":0,"free":0,"student_rate":0,"man_rate":0,"free_rate":0},"boat":{"student":0,"man":0,"free":0,"student_rate":0,"man_rate":0,"free_rate":0}},"hht":{"door":{"student":0,"man":0,"free":0,"student_rate":0,"man_rate":0,"free_rate":0},"boat":{"student":0,"man":0,"free":0,"student_rate":0,"man_rate":0,"free_rate":0}},"sty":{"special":0,"special_rate":0}}}}]
2019-05-17 09:39:20 | DEBUG | 4033 | 5cde10c8066d1 | 1558057160.71 | Uri:[/get_visitor_data] | Refer:[] | File:[Api.php] | Line:[154] | Response:[]
2019-05-17 09:43:27 | DEBUG | 29472 | 5cde11bfb4bb3 | 1558057407.748 | Uri:[/get_visitor_data] | Refer:[] | File:[Api.php] | Line:[154] | Response:[{"code":200,"msg":"","data":{"travelAgencyData":[{"travel_agency":"青铜峡旅行社","count":1123,"rate":0.993},{"travel_agency":"江苏旅行社","count":4,"rate":0.004},{"travel_agency":"山西旅行社","count":4,"rate":0.004}],"visitorAttr":{"travelAgencyData":[],"visitorSexData":[],"visitorAgeData":{"oldAgeCount":0,"youngAgeCount":0,"oldAgeRate":0,"youngAgeRate":0}}}}]
2019-05-17 09:43:39 | DEBUG | 1014 | 5cde11cb674d2 | 1558057419.459 | Uri:[/get_visitor_data] | Refer:[] | File:[Api.php] | Line:[154] | Response:[{"code":200,"msg":"","data":{"travelAgencyData":[{"travel_agency":"青铜峡旅行社","count":1123,"rate":0.993},{"travel_agency":"山西旅行社","count":4,"rate":0.004},{"travel_agency":"江苏旅行社","count":4,"rate":0.004}],"visitorAttr":{"travelAgencyData":false,"visitorSexData":false,"visitorAgeData":{"oldAgeCount":0,"youngAgeCount":0,"oldAgeRate":0,"youngAgeRate":0}}}}]
2019-05-17 09:51:34 | DEBUG | 29472 | 5cde13a6088e8 | 1558057894.41 | Uri:[/get_visitor_data] | Refer:[] | File:[Api.php] | Line:[153] | Response:[{"code":200,"msg":"","data":{"travelAgencyData":[{"travel_agency":"青铜峡旅行社","count":1123,"rate":0.993},{"travel_agency":"山西旅行社","count":4,"rate":0.004},{"travel_agency":"江苏旅行社","count":4,"rate":0.004}],"visitorAttr":{"travelAgencyData":false,"visitorSexData":false,"visitorAgeData":{"oldAgeCount":0,"youngAgeCount":0,"oldAgeRate":0,"youngAgeRate":0}}}}]
2019-05-17 09:55:02 | DEBUG | 4033 | 5cde147664da8 | 1558058102.418 | Uri:[/get_visitor_data] | Refer:[] | File:[Api.php] | Line:[153] | Response:[{"code":200,"msg":"","data":{"travelAgencyData":[{"travel_agency":"青铜峡旅行社","count":1123,"rate":0.993},{"travel_agency":"山西旅行社","count":4,"rate":0.004},{"travel_agency":"江苏旅行社","count":4,"rate":0.004}],"visitorAttr":{"travelAgencyData":false,"visitorSexData":false,"visitorAgeData":{"oldAgeCount":0,"youngAgeCount":0,"oldAgeRate":0,"youngAgeRate":0}}}}]
2019-05-17 09:56:07 | DEBUG | 29472 | 5cde14b7c8461 | 1558058167.959 | Uri:[/get_visitor_data] | Refer:[] | File:[Api.php] | Line:[153] | Response:[{"code":200,"msg":"","data":{"travelAgencyData":[{"travel_agency":"青铜峡旅行社","count":1123,"rate":0.993},{"travel_agency":"山西旅行社","count":4,"rate":0.004},{"travel_agency":"江苏旅行社","count":4,"rate":0.004}],"visitorAttr":{"travelAgencyData":[],"visitorSexData":[],"visitorAgeData":{"oldAgeCount":0,"youngAgeCount":0,"oldAgeRate":0,"youngAgeRate":0}}}}]
2019-05-17 09:58:38 | DEBUG | 1014 | 5cde154eec9ff | 1558058318.975 | Uri:[/get_visitor_data] | Refer:[] | File:[Api.php] | Line:[153] | Response:[{"code":200,"msg":"","data":{"travelAgencyData":[{"travel_agency":"青铜峡旅行社","count":1123,"rate":0.993},{"travel_agency":"山西旅行社","count":4,"rate":0.004},{"travel_agency":"江苏旅行社","count":4,"rate":0.004}],"visitorAttr":{"travelAgencyData":false,"visitorSexData":false,"visitorAgeData":{"oldAgeCount":0,"youngAgeCount":0,"oldAgeRate":0,"youngAgeRate":0}}}}]
2019-05-17 09:59:45 | DEBUG | 4033 | 5cde1591184e3 | 1558058385.105 | Uri:[/get_visitor_data] | Refer:[] | File:[Api.php] | Line:[153] | Response:[{"code":200,"msg":"","data":{"travelAgencyData":[{"travel_agency":"青铜峡旅行社","count":1123,"rate":0.993},{"travel_agency":"山西旅行社","count":4,"rate":0.004},{"travel_agency":"江苏旅行社","count":4,"rate":0.004}],"visitorAttr":{"travelAgencyData":false,"visitorSexData":false,"visitorAgeData":{"oldAgeCount":0,"youngAgeCount":0,"oldAgeRate":0,"youngAgeRate":0}}}}]
2019-05-17 10:00:09 | DEBUG | 29472 | 5cde15a9d2191 | 1558058409.865 | Uri:[/get_visitor_data] | Refer:[] | File:[Api.php] | Line:[153] | Response:[{"code":200,"msg":"","data":{"travelAgencyData":[{"travel_agency":"青铜峡旅行社","count":1123,"rate":0.993},{"travel_agency":"山西旅行社","count":4,"rate":0.004},{"travel_agency":"江苏旅行社","count":4,"rate":0.004}],"visitorAttr":{"travelAgencyData":[{"travel_agency":"江苏旅行社","count":4}],"visitorSexData":[{"sex":"女","count":1,"rate":0.25},{"sex":"男","count":3,"rate":0.75}],"visitorAgeData":{"oldAgeCount":3,"youngAgeCount":1,"oldAgeRate":0.75,"youngAgeRate":0.25}}}}]
2019-05-17 10:05:44 | DEBUG | 1014 | 5cde16f879754 | 1558058744.506 | Uri:[/get_visitor_data] | Refer:[] | File:[Api.php] | Line:[153] | Response:[{"code":200,"msg":"","data":{"travelAgencyData":[{"travel_agency":"青铜峡旅行社","count":1123,"rate":0.993},{"travel_agency":"江苏旅行社","count":4,"rate":0.004},{"travel_agency":"山西旅行社","count":4,"rate":0.004}],"visitorAttr":{"travelAgencyData":[{"travel_agency":"江苏旅行社","count":4}],"visitorSexData":[{"sex":"女","count":1,"rate":0.25},{"sex":"男","count":3,"rate":0.75}],"visitorAgeData":{"oldAgeCount":3,"youngAgeCount":1,"oldAgeRate":0.75,"youngAgeRate":0.25}}}}]
2019-05-17 10:05:51 | DEBUG | 4033 | 5cde16ff22565 | 1558058751.145 | Uri:[/get_visitor_data] | Refer:[] | File:[Api.php] | Line:[153] | Response:[{"code":200,"msg":"","data":{"travelAgencyData":[{"travel_agency":"青铜峡旅行社","count":1123,"rate":0.993},{"travel_agency":"山西旅行社","count":4,"rate":0.004},{"travel_agency":"江苏旅行社","count":4,"rate":0.004}],"visitorAttr":{"travelAgencyData":[],"visitorSexData":[{"sex":"女","count":0,"rate":0},{"sex":"男","count":0,"rate":0}],"visitorAgeData":{"oldAgeCount":0,"youngAgeCount":0,"oldAgeRate":0,"youngAgeRate":0}}}}]
2019-05-17 10:13:38 | DEBUG | 29472 | 5cde18d20f4d5 | 1558059218.65 | Uri:[/get_single_group] | Refer:[] | File:[Api.php] | Line:[126] | Response:[{"code":200,"msg":"","data":{"daySingleGroupData":{"2019-05-11":{"group_num":0,"scattered_num":0,"group_rate":0,"scattered_rate":0},"2019-05-12":{"group_num":0,"scattered_num":0,"group_rate":0,"scattered_rate":0},"2019-05-13":{"group_num":300,"scattered_num":500,"group_rate":0.375,"scattered_rate":0.625},"2019-05-14":{"group_num":0,"scattered_num":0,"group_rate":0,"scattered_rate":0},"2019-05-15":{"group_num":200,"scattered_num":400,"group_rate":0.333,"scattered_rate":0.667},"2019-05-16":{"group_num":0,"scattered_num":0,"group_rate":0,"scattered_rate":0},"2019-05-17":{"group_num":0,"scattered_num":0,"group_rate":0,"scattered_rate":0}},"totalSingleGroupData":{"scattered_num":0,"group_num":0,"scattered_rate":0,"group_rate":0,"group_scattered_rate":0}}}]
2019-05-17 10:13:48 | DEBUG | 1014 | 5cde18dcd66b9 | 1558059228.880 | Uri:[/get_single_group] | Refer:[] | File:[Api.php] | Line:[126] | Response:[{"code":200,"msg":"","data":{"daySingleGroupData":{"2019-05-11":{"group_num":0,"scattered_num":0,"group_rate":0,"scattered_rate":0},"2019-05-12":{"group_num":0,"scattered_num":0,"group_rate":0,"scattered_rate":0},"2019-05-13":{"group_num":300,"scattered_num":500,"group_rate":0.375,"scattered_rate":0.625},"2019-05-14":{"group_num":0,"scattered_num":0,"group_rate":0,"scattered_rate":0},"2019-05-15":{"group_num":200,"scattered_num":400,"group_rate":0.333,"scattered_rate":0.667},"2019-05-16":{"group_num":0,"scattered_num":0,"group_rate":0,"scattered_rate":0},"2019-05-17":{"group_num":0,"scattered_num":0,"group_rate":0,"scattered_rate":0}},"totalSingleGroupData":{"scattered_num":400,"group_num":200,"scattered_rate":0.667,"group_rate":0.333,"group_scattered_rate":0.5}}}]
2019-05-17 14:45:10 | DEBUG | 4033 | 5cde58761203a | 1558075510.638 | Uri:[/get_visitor_data] | Refer:[] | File:[Api.php] | Line:[163] | Response:[{"code":200,"msg":"","data":{"travelAgencyData":[{"travel_agency":"青铜峡旅行社","count":1123,"rate":0.993},{"travel_agency":"山西旅行社","count":4,"rate":0.004},{"travel_agency":"江苏旅行社","count":4,"rate":0.004}],"visitorAttr":{"travelAgencyData":[{"travel_agency":"江苏旅行社","count":4}],"visitorSexData":[{"sex":"女","count":1,"rate":0.25},{"sex":"男","count":3,"rate":0.75}],"visitorAgeData":{"oldAgeCount":3,"youngAgeCount":1,"oldAgeRate":0.75,"youngAgeRate":0.25}}}}]
2019-05-17 14:47:31 | DEBUG | 29472 | 5cde59031e9de | 1558075651.135 | Uri:[/get_visitor_data] | Refer:[] | File:[Api.php] | Line:[163] | Response:[{"code":200,"msg":"","data":{"travelAgencyData":[{"travel_agency":"青铜峡旅行社","count":1123,"rate":0.993},{"travel_agency":"山西旅行社","count":4,"rate":0.004},{"travel_agency":"江苏旅行社","count":4,"rate":0.004}],"visitorAttr":{"travelAgencyData":[{"travel_agency":"江苏旅行社","count":4}],"visitorSexData":[{"sex":"女","count":1,"rate":0.25},{"sex":"男","count":3,"rate":0.75}],"visitorAgeData":{"oldAgeCount":3,"youngAgeCount":1,"oldAgeRate":0.75,"youngAgeRate":0.25}},"visitorAttrDiff":{"firstData":{"travelAgencyData":[{"travel_agency":"江苏旅行社","count":4}],"visitorSexData":[{"sex":"女","count":1,"rate":0.25},{"sex":"男","count":3,"rate":0.75}],"visitorAgeData":{"oldAgeCount":3,"youngAgeCount":1,"oldAgeRate":0.75,"youngAgeRate":0.25}},"secondData":{"travelAgencyData":[{"travel_agency":"江苏旅行社","count":4}],"visitorSexData":[{"sex":"女","count":1,"rate":0.25},{"sex":"男","count":3,"rate":0.75}],"visitorAgeData":{"oldAgeCount":3,"youngAgeCount":1,"oldAgeRate":0.75,"youngAgeRate":0.25}}}}}]
2019-05-17 14:49:05 | DEBUG | 1014 | 5cde59618d7b7 | 1558075745.711 | Uri:[/get_visitor_data] | Refer:[] | File:[Api.php] | Line:[163] | Response:[{"code":200,"msg":"","data":{"travelAgencyData":[{"travel_agency":"青铜峡旅行社","count":1123,"rate":0.993},{"travel_agency":"江苏旅行社","count":4,"rate":0.004},{"travel_agency":"山西旅行社","count":4,"rate":0.004}],"visitorAttr":{"travelAgencyData":[],"visitorSexData":[{"sex":"女","count":0,"rate":0},{"sex":"男","count":0,"rate":0}],"visitorAgeData":{"oldAgeCount":0,"youngAgeCount":0,"oldAgeRate":0,"youngAgeRate":0}},"visitorAttrDiff":{"firstData":{"travelAgencyData":[],"visitorSexData":[{"sex":"女","count":0,"rate":0},{"sex":"男","count":0,"rate":0}],"visitorAgeData":{"oldAgeCount":0,"youngAgeCount":0,"oldAgeRate":0,"youngAgeRate":0}},"secondData":{"travelAgencyData":[{"travel_agency":"江苏旅行社","count":4}],"visitorSexData":[{"sex":"女","count":1,"rate":0.25},{"sex":"男","count":3,"rate":0.75}],"visitorAgeData":{"oldAgeCount":3,"youngAgeCount":1,"oldAgeRate":0.75,"youngAgeRate":0.25}}}}}]
2019-05-17 15:28:09 | DEBUG | 1014 | 5cde6289519ce | 1558078089.340 | Uri:[/get_visitor_data] | Refer:[] | File:[Api.php] | Line:[163] | Response:[{"code":200,"msg":"","data":{"travelAgencyData":[{"travel_agency":"青铜峡旅行社","count":1123,"rate":0.993},{"travel_agency":"山西旅行社","count":4,"rate":0.004},{"travel_agency":"江苏旅行社","count":4,"rate":0.004}],"visitorAttr":{"travelAgencyData":[],"visitorSexData":{"woman":{"count":0,"rate":0},"man":{"count":0,"rate":0}},"visitorAgeData":{"oldAgeCount":0,"youngAgeCount":0,"oldAgeRate":0,"youngAgeRate":0}},"visitorAttrDiff":[]}}]
2019-05-17 15:28:42 | DEBUG | 4033 | 5cde62aa66fb0 | 1558078122.432 | Uri:[/get_visitor_data] | Refer:[] | File:[Api.php] | Line:[163] | Response:[{"code":200,"msg":"","data":{"travelAgencyData":[{"travel_agency":"青铜峡旅行社","count":1123,"rate":0.993},{"travel_agency":"江苏旅行社","count":4,"rate":0.004},{"travel_agency":"山西旅行社","count":4,"rate":0.004}],"visitorAttr":{"travelAgencyData":[],"visitorSexData":{"woman":{"count":0,"rate":0},"man":{"count":0,"rate":0}},"visitorAgeData":{"oldAgeCount":0,"youngAgeCount":0,"oldAgeRate":0,"youngAgeRate":0}},"visitorAttrDiff":{"firstData":{"travelAgencyData":[],"visitorSexData":{"woman":{"count":0,"rate":0},"man":{"count":0,"rate":0}},"visitorAgeData":{"oldAgeCount":0,"youngAgeCount":0,"oldAgeRate":0,"youngAgeRate":0}},"secondData":{"travelAgencyData":[{"travel_agency":"江苏旅行社","count":4}],"visitorSexData":{"woman":{"count":0,"rate":0},"man":{"count":0,"rate":0}},"visitorAgeData":{"oldAgeCount":3,"youngAgeCount":1,"oldAgeRate":0.75,"youngAgeRate":0.25}}}}}]
2019-05-17 15:32:28 | DEBUG | 29472 | 5cde638c93951 | 1558078348.616 | Uri:[/get_visitor_data] | Refer:[] | File:[Api.php] | Line:[163] | Response:[{"code":200,"msg":"","data":{"travelAgencyData":[{"travel_agency":"青铜峡旅行社","count":1123,"rate":0.993},{"travel_agency":"山西旅行社","count":4,"rate":0.004},{"travel_agency":"江苏旅行社","count":4,"rate":0.004}],"visitorAttr":{"travelAgencyData":[],"visitorSexData":{"woman":{"count":0,"rate":0},"man":{"count":0,"rate":0}},"visitorAgeData":{"oldAgeCount":0,"youngAgeCount":0,"oldAgeRate":0,"youngAgeRate":0}},"visitorAttrDiff":{"firstData":{"travelAgencyData":[],"visitorSexData":{"woman":{"count":0,"rate":0},"man":{"count":0,"rate":0}},"visitorAgeData":{"oldAgeCount":0,"youngAgeCount":0,"oldAgeRate":0,"youngAgeRate":0}},"secondData":{"travelAgencyData":[{"travel_agency":"江苏旅行社","count":4}],"visitorSexData":{"woman":{"count":1,"rate":0.25},"man":{"count":3,"rate":0.75}},"visitorAgeData":{"oldAgeCount":3,"youngAgeCount":1,"oldAgeRate":0.75,"youngAgeRate":0.25}}}}}]
2019-05-17 16:12:50 | DEBUG | 1014 | 5cde6d022b064 | 1558080770.196 | Uri:[/get_visitor_data] | Refer:[] | File:[Api.php] | Line:[163] | Response:[{"code":200,"msg":"","data":{"travelAgencyData":[{"travel_agency":"青铜峡旅行社","count":1123,"rate":0.993},{"travel_agency":"山西旅行社","count":4,"rate":0.004},{"travel_agency":"江苏旅行社","count":4,"rate":0.004}],"visitorAttr":{"travelAgencyData":[],"visitorSexData":{"woman":{"count":0,"rate":0},"man":{"count":0,"rate":0}},"visitorAgeData":{"oldAgeCount":0,"youngAgeCount":0,"oldAgeRate":0,"youngAgeRate":0}},"visitorAttrDiff":{"firstData":{"travelAgencyData":[],"visitorSexData":{"woman":{"count":0,"rate":0},"man":{"count":0,"rate":0}},"visitorAgeData":{"oldAgeCount":0,"youngAgeCount":0,"oldAgeRate":0,"youngAgeRate":0}},"secondData":{"travelAgencyData":[{"travel_agency":"江苏旅行社","count":4}],"visitorSexData":{"woman":{"count":1,"rate":0.25},"man":{"count":3,"rate":0.75}},"visitorAgeData":{"oldAgeCount":3,"youngAgeCount":1,"oldAgeRate":0.75,"youngAgeRate":0.25}},"rateChange":{"womanRateChange":-1,"manRateChange":-1,"oldAgeRateChange":-1,"youngAgeRateChange":-1}}}}]
2019-05-17 16:16:25 | DEBUG | 1014 | 5cde6dd9951f6 | 1558080985.641 | Uri:[/get_visitor_data] | Refer:[] | File:[Api.php] | Line:[163] | Response:[{"code":200,"msg":"","data":{"travelAgencyData":[{"travel_agency":"青铜峡旅行社","count":1123,"rate":0.993},{"travel_agency":"山西旅行社","count":4,"rate":0.004},{"travel_agency":"江苏旅行社","count":4,"rate":0.004}],"visitorAttr":{"travelAgencyData":[],"visitorSexData":{"woman":{"count":0,"rate":0},"man":{"count":0,"rate":0}},"visitorAgeData":{"oldAgeCount":0,"youngAgeCount":0,"oldAgeRate":0,"youngAgeRate":0}},"visitorAttrDiff":{"firstData":{"travelAgencyData":[],"visitorSexData":{"woman":{"count":0,"rate":0},"man":{"count":0,"rate":0}},"visitorAgeData":{"oldAgeCount":0,"youngAgeCount":0,"oldAgeRate":0,"youngAgeRate":0}},"secondData":{"travelAgencyData":[{"travel_agency":"江苏旅行社","count":4}],"visitorSexData":{"woman":{"count":1,"rate":0.25},"man":{"count":3,"rate":0.75}},"visitorAgeData":{"oldAgeCount":3,"youngAgeCount":1,"oldAgeRate":0.75,"youngAgeRate":0.25}},"rateChange":{"womanRateChange":"--","manRateChange":"--","oldAgeRateChange":"--","youngAgeRateChange":"--"}}}}]
2019-05-17 16:17:06 | DEBUG | 4033 | 5cde6e02deff5 | 1558081026.932 | Uri:[/get_visitor_data] | Refer:[] | File:[Api.php] | Line:[163] | Response:[{"code":200,"msg":"","data":{"travelAgencyData":[{"travel_agency":"青铜峡旅行社","count":1123,"rate":0.993},{"travel_agency":"山西旅行社","count":4,"rate":0.004},{"travel_agency":"江苏旅行社","count":4,"rate":0.004}],"visitorAttr":{"travelAgencyData":[{"travel_agency":"江苏旅行社","count":4}],"visitorSexData":{"woman":{"count":1,"rate":0.25},"man":{"count":3,"rate":0.75}},"visitorAgeData":{"oldAgeCount":3,"youngAgeCount":1,"oldAgeRate":0.75,"youngAgeRate":0.25}},"visitorAttrDiff":{"firstData":{"travelAgencyData":[{"travel_agency":"江苏旅行社","count":4}],"visitorSexData":{"woman":{"count":1,"rate":0.25},"man":{"count":3,"rate":0.75}},"visitorAgeData":{"oldAgeCount":3,"youngAgeCount":1,"oldAgeRate":0.75,"youngAgeRate":0.25}},"secondData":{"travelAgencyData":[{"travel_agency":"江苏旅行社","count":4}],"visitorSexData":{"woman":{"count":1,"rate":0.25},"man":{"count":3,"rate":0.75}},"visitorAgeData":{"oldAgeCount":3,"youngAgeCount":1,"oldAgeRate":0.75,"youngAgeRate":0.25}},"rateChange":{"womanRateChange":0,"manRateChange":0,"oldAgeRateChange":0,"youngAgeRateChange":0}}}}]
